id,content,rating,date,source
FB_058,"Search results are slow when my workspace is large",2,2026-08-02,Survey
FB_059,"The app crashes when I open a large notebook",1,2026-08-03,App Store
FB_060,"NovaNote freezes after the V3.2 update",1,2026-08-04,Customer Service
FB_061,"The paid plan limits are difficult to understand",3,2026-08-05,Community
FB_062,"I need to export several notebooks at once",3,2026-08-06,Survey
FB_063,"The verification code arrives after it has expired",2,2026-08-07,Customer Service
FB_064,"The editor toolbar is hard to scan on a small screen",3,2026-08-08,Community
FB_065,"Search cannot find a note I saved last month",2,2026-08-09,App Store
FB_066,"Search results are slow when my workspace is large",2,2026-08-10,Survey
FB_067,"The app crashes when I open a large notebook",1,2026-08-11,App Store
FB_068,"NovaNote freezes after the V3.2 update",1,2026-08-12,Customer Service
FB_069,"The paid plan limits are difficult to understand",3,2026-08-13,Community
FB_070,"I need to export several notebooks at once",3,2026-08-14,Survey
FB_071,"The verification code arrives after it has expired",2,2026-08-01,Customer Service
FB_072,"The editor toolbar is hard to scan on a small screen",3,2026-08-02,Community
FB_073,"Search cannot find a note I saved last month",2,2026-08-03,App Store
FB_074,"Search results are slow when my workspace is large",2,2026-08-04,Survey
FB_075,"The app crashes when I open a large notebook",1,2026-08-05,App Store
FB_076,"NovaNote freezes after the V3.2 update",1,2026-08-06,Customer Service
FB_077,"The paid plan limits are difficult to understand",3,2026-08-07,Community
FB_078,"I need to export several notebooks at once",3,2026-08-08,Survey
FB_079,"The verification code arrives after it has expired",2,2026-08-09,Customer Service
FB_080,"The editor toolbar is hard to scan on a small screen",3,2026-08-10,Community
FB_081,"Search cannot find a note I saved last month",2,2026-08-11,App Store
FB_082,"Search results are slow when my workspace is large",2,2026-08-12,Survey
FB_083,"The app crashes when I open a large notebook",1,2026-08-13,App Store
FB_084,"NovaNote freezes after the V3.2 update",1,2026-08-14,Customer Service
FB_085,"The paid plan limits are difficult to understand",3,2026-08-01,Community
FB_086,"I need to export several notebooks at once",3,2026-08-02,Survey
FB_087,"The verification code arrives after it has expired",2,2026-08-03,Customer Service
FB_088,"The editor toolbar is hard to scan on a small screen",3,2026-08-04,Community
FB_089,"Search cannot find a note I saved last month",2,2026-08-05,App Store
FB_090,"Search results are slow when my workspace is large",2,2026-08-06,Survey
FB_091,"The app crashes when I open a large notebook",1,2026-08-07,App Store
FB_092,"NovaNote freezes after the V3.2 update",1,2026-08-08,Customer Service
FB_093,"The paid plan limits are difficult to understand",3,2026-08-09,Community
FB_094,"I need to export several notebooks at once",3,2026-08-10,Survey
FB_095,"The verification code arrives after it has expired",2,2026-08-11,Customer Service
FB_096,"The editor toolbar is hard to scan on a small screen",3,2026-08-12,Community
FB_097,"Search cannot find a note I saved last month",2,2026-08-13,App Store
FB_098,"Search results are slow when my workspace is large",2,2026-08-14,Survey
FB_099,"The app crashes when I open a large notebook",1,2026-08-01,App Store
FB_100,"NovaNote freezes after the V3.2 update",1,2026-08-02,Customer Service
FB_101,"The paid plan limits are difficult to understand",3,2026-08-03,Community
FB_102,"I need to export several notebooks at once",3,2026-08-04,Survey
FB_103,"The verification code arrives after it has expired",2,2026-08-05,Customer Service
FB_104,"The editor toolbar is hard to scan on a small screen",3,2026-08-06,Community
FB_105,"Search cannot find a note I saved last month",2,2026-08-07,App Store
FB_106,"Search results are slow when my workspace is large",2,2026-08-08,Survey
FB_107,"The app crashes when I open a large notebook",1,2026-08-09,App Store
FB_108,"NovaNote freezes after the V3.2 update",1,2026-08-10,Customer Service
FB_109,"The paid plan limits are difficult to understand",3,2026-08-11,Community
FB_110,"I need to export several notebooks at once",3,2026-08-12,Survey
FB_111,"The verification code arrives after it has expired",2,2026-08-13,Customer Service
FB_112,"The editor toolbar is hard to scan on a small screen",3,2026-08-14,Community
FB_113,"Search cannot find a note I saved last month",2,2026-08-01,App Store
FB_114,"Search results are slow when my workspace is large",2,2026-08-02,Survey
FB_115,"The app crashes when I open a large notebook",1,2026-08-03,App Store
FB_116,"NovaNote freezes after the V3.2 update",1,2026-08-04,Customer Service
FB_117,"The paid plan limits are difficult to understand",3,2026-08-05,Community
FB_118,"I need to export several notebooks at once",3,2026-08-06,Survey
FB_119,"The verification code arrives after it has expired",2,2026-08-07,Customer Service
FB_120,"The editor toolbar is hard to scan on a small screen",3,2026-08-08,Community

