id,content,gold,prediction,error_type,root_cause,fix_strategy
EV_069,"The app is okay, but I have not used search enough to judge it This happened again today.",other,performance,E1_CATEGORY_BOUNDARY,Category boundary selected performance instead of other.,Clarify this category boundary with a minimal decision rule or example.
EV_070,"Search is fast, but the results miss notes saved last month This happened again today.",bug,ux,E1_CATEGORY_BOUNDARY,Category boundary selected ux instead of bug.,Clarify this category boundary with a minimal decision rule or example.
EV_071,Dark mode would make evening writing more comfortable This happened again today.,feature_request,ux,E1_CATEGORY_BOUNDARY,Category boundary selected ux instead of feature_request.,Clarify this category boundary with a minimal decision rule or example.
EV_072,The editor deleted my unsaved paragraph after reconnecting This happened again today.,bug,performance,E1_CATEGORY_BOUNDARY,Category boundary selected performance instead of bug.,Clarify this category boundary with a minimal decision rule or example.
EV_073,Why was I charged twice for one monthly subscription? This happened again today.,pricing,bug,E1_CATEGORY_BOUNDARY,Category boundary selected bug instead of pricing.,Clarify this category boundary with a minimal decision rule or example.
EV_080,The app crashes every time I open my main notebook I noticed this in version 3.2.,bug,performance,E1_CATEGORY_BOUNDARY,Category boundary selected performance instead of bug.,Clarify this category boundary with a minimal decision rule or example.
EV_083,The Pro plan price increased and is now too expensive for me I noticed this in version 3.2.,medium,low,E2_SEVERITY_RULE,Severity was classified low instead of medium.,Tighten workflow-impact and critical/high boundary definitions.
EV_084,The pricing page clearly explains every plan I noticed this in version 3.2.,pricing,content,E1_CATEGORY_BOUNDARY,Category boundary selected content instead of pricing.,Clarify this category boundary with a minimal decision rule or example.
EV_085,The help article for workspace recovery is outdated I noticed this in version 3.2.,medium,low,E2_SEVERITY_RULE,Severity was classified low instead of medium.,Tighten workflow-impact and critical/high boundary definitions.
EV_086,Your support agent solved my login issue in five minutes I noticed this in version 3.2.,customer_service,pricing,E1_CATEGORY_BOUNDARY,Category boundary selected pricing instead of customer_service.,Clarify this category boundary with a minimal decision rule or example.
EV_087,Support has not replied to my billing ticket for six days I noticed this in version 3.2.,customer_service,ux,E1_CATEGORY_BOUNDARY,Category boundary selected ux instead of customer_service.,Clarify this category boundary with a minimal decision rule or example.
EV_089,Please let me customize the sidebar order I noticed this in version 3.2.,suggestion,request,E8_OTHER,Intent was classified request instead of suggestion.,Clarify complaint/request/suggestion/question decision order.
EV_090,Sync occasionally duplicates the same note I noticed this in version 3.2.,medium,high,E2_SEVERITY_RULE,Severity was classified high instead of medium.,Tighten workflow-impact and critical/high boundary definitions.
EV_091,Startup uses too much memory and slows my laptop I noticed this in version 3.2.,high,medium,E2_SEVERITY_RULE,Severity was classified medium instead of high.,Tighten workflow-impact and critical/high boundary definitions.
EV_093,I received a verification code but the login screen was easy to use I noticed this in version 3.2.,ux,pricing,E1_CATEGORY_BOUNDARY,Category boundary selected pricing instead of ux.,Clarify this category boundary with a minimal decision rule or example.
EV_094,"The app is okay, but I have not used search enough to judge it I noticed this in version 3.2.",other,complaint,E8_OTHER,Intent was classified complaint instead of other.,Clarify complaint/request/suggestion/question decision order.
EV_095,"Search is fast, but the results miss notes saved last month I noticed this in version 3.2.",bug,ux,E1_CATEGORY_BOUNDARY,Category boundary selected ux instead of bug.,Clarify this category boundary with a minimal decision rule or example.
EV_096,Dark mode would make evening writing more comfortable I noticed this in version 3.2.,positive,neutral,E8_OTHER,Sentiment was classified neutral instead of positive.,Clarify mixed-valence and neutral boundaries.
EV_098,Why was I charged twice for one monthly subscription? I noticed this in version 3.2.,pricing,bug,E1_CATEGORY_BOUNDARY,Category boundary selected bug instead of pricing.,Clarify this category boundary with a minimal decision rule or example.
