id,content,gold_pain_point,pred_pain_point,pain_point_score,pain_point_note,gold_user_need,pred_user_need,user_need_score,user_need_note,hallucination_flag,reviewer_type
EV_028,The export button does nothing after I click it On desktop.,Export action failure,deterministic malfunction,1,"Related but generic, surface-level, or partially mismatched.",Reliably export work when requested,Export functionality is not working.,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_029,Please add a yearly filter to search On desktop.,Missing historical filter,lack of time-based search capability,2,Semantically matches the core user problem.,Narrow historical results efficiently,enhanced search filtering by time period,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_030,The app crashes every time I open my main notebook On desktop.,Blocking notebook crash,app_crash,2,Semantically matches the core user problem.,Access core notebooks without crashes,app_stability,2,Captures the underlying need.,0,AI_PROXY
EV_031,NovaNote feels fast after the latest update On desktop.,Improved application speed,startup_speed,1,"Related but generic, surface-level, or partially mismatched.",Complete work with responsive performance,faster application startup,1,Relevant but mostly restates the issue or requested solution.,1,AI_PROXY
EV_032,Is there a way to export all notebooks at once? On desktop.,Batch export discoverability,lack_of_batch_export_capability,2,Semantically matches the core user problem.,Move multiple notebooks efficiently,ability_to_export_multiple_notebooks_simultaneously,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_033,The Pro plan price increased and is now too expensive for me On desktop.,Plan affordability,price_increase,2,Semantically matches the core user problem.,Choose a plan aligned with perceived value,affordable_pricing,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_034,The pricing page clearly explains every plan On desktop.,Clear plan comparison,none,0,Misses or contradicts the labeled user problem.,Understand plan value before purchasing,None,0,"Missing, unrelated, or not an underlying need.",0,AI_PROXY
EV_035,The help article for workspace recovery is outdated On desktop.,Outdated recovery guidance,outdated_content,2,Semantically matches the core user problem.,Access current recovery instructions,accurate_help_content,2,Captures the underlying need.,0,AI_PROXY
EV_036,Your support agent solved my login issue in five minutes On desktop.,Effective login support,None,0,Misses or contradicts the labeled user problem.,Resolve access problems quickly,Recognition of successful support resolution.,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_037,Support has not replied to my billing ticket for six days On desktop.,Delayed billing support,lack_of_response,2,Semantically matches the core user problem.,Receive timely help for billing blockers,timely support response,2,Captures the underlying need.,0,AI_PROXY
EV_038,The sidebar labels are hard to understand On desktop.,Unclear navigation labels,discoverability,1,"Related but generic, surface-level, or partially mismatched.",Navigate product areas confidently,Improve clarity of sidebar labels to enhance navigation.,2,Captures the underlying need.,0,AI_PROXY
EV_039,Please let me customize the sidebar order On desktop.,Fixed sidebar organization,lack of customization,2,Semantically matches the core user problem.,Organize navigation around personal workflow,flexible interface layout,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_040,Sync occasionally duplicates the same note On desktop.,Duplicate notes after sync,data integrity,1,"Related but generic, surface-level, or partially mismatched.",Keep synchronized content consistent,Ensure unique note creation during synchronization to prevent data duplication.,2,Captures the underlying need.,0,AI_PROXY
EV_041,Startup uses too much memory and slows my laptop On desktop.,High startup resource use,high resource use,2,Semantically matches the core user problem.,Open the app without degrading the device,reduce startup latency and memory consumption,2,Captures the underlying need.,0,AI_PROXY
EV_042,The tutorial says to click a menu that no longer exists On desktop.,Obsolete onboarding content,outdated content,2,Semantically matches the core user problem.,Follow accurate product instructions,Update tutorial to reflect current interface.,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_043,I received a verification code but the login screen was easy to use On desktop.,Clear verification flow,login_screen,1,"Related but generic, surface-level, or partially mismatched.",Complete authentication confidently,positive feedback on usability,0,"Missing, unrelated, or not an underlying need.",0,AI_PROXY
EV_044,"The app is okay, but I have not used search enough to judge it On desktop.",Insufficient usage context,insufficient testing,2,Semantically matches the core user problem.,Evaluate the product after adequate use,insufficient testing,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_045,"Search is fast, but the results miss notes saved last month On desktop.",Missing historical search results,discoverability,1,"Related but generic, surface-level, or partially mismatched.",Retrieve previously saved notes accurately,improve search result freshness,1,Relevant but mostly restates the issue or requested solution.,1,AI_PROXY
EV_046,Dark mode would make evening writing more comfortable On desktop.,Missing low-light appearance,Evening writing comfort,2,Semantically matches the core user problem.,Write comfortably in low-light settings,Improve visual comfort during low-light conditions.,2,Captures the underlying need.,0,AI_PROXY
EV_047,The editor deleted my unsaved paragraph after reconnecting On desktop.,Unsaved content loss,data loss,2,Semantically matches the core user problem.,Protect writing during connectivity changes,Prevent accidental data loss during editor reconnection.,2,Captures the underlying need.,0,AI_PROXY
EV_048,Why was I charged twice for one monthly subscription? On desktop.,Duplicate subscription charge,duplicate charge,2,Semantically matches the core user problem.,Trust billing accuracy and understand charges,resolution of billing error,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_049,The release notes are concise and useful On desktop.,Useful release communication,none,0,Misses or contradicts the labeled user problem.,Understand product changes efficiently,None,0,"Missing, unrelated, or not an underlying need.",0,AI_PROXY
EV_050,Login takes fifteen seconds and then the verification code expires On desktop.,Slow authentication flow,slow startup,1,"Related but generic, surface-level, or partially mismatched.",Access the workspace before credentials expire,faster login startup,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_051,Search results take twelve seconds to appear in my large workspace This happened again today.,Slow search results,slow loading,2,Semantically matches the core user problem.,Get search results quickly during core retrieval,improved search response time,2,Captures the underlying need.,0,AI_PROXY
EV_052,Search filters are confusing and I cannot tell which ones are active This happened again today.,Confusing search filters,filter_visibility,2,Semantically matches the core user problem.,Understand and control active search filters,improved_filter_visibility,2,Captures the underlying need.,0,AI_PROXY
EV_053,The export button does nothing after I click it This happened again today.,Export action failure,deterministic malfunction,1,"Related but generic, surface-level, or partially mismatched.",Reliably export work when requested,Export functionality is not working.,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_054,Please add a yearly filter to search This happened again today.,Missing historical filter,search functionality,1,"Related but generic, surface-level, or partially mismatched.",Narrow historical results efficiently,enhanced search filtering,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_055,The app crashes every time I open my main notebook This happened again today.,Blocking notebook crash,app_crash,2,Semantically matches the core user problem.,Access core notebooks without crashes,app_startup,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_056,NovaNote feels fast after the latest update This happened again today.,Improved application speed,startup_speed,1,"Related but generic, surface-level, or partially mismatched.",Complete work with responsive performance,faster application startup,1,Relevant but mostly restates the issue or requested solution.,1,AI_PROXY
EV_057,Is there a way to export all notebooks at once? This happened again today.,Batch export discoverability,manual_export,1,"Related but generic, surface-level, or partially mismatched.",Move multiple notebooks efficiently,batch_export,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_058,The Pro plan price increased and is now too expensive for me This happened again today.,Plan affordability,cost_increase,2,Semantically matches the core user problem.,Choose a plan aligned with perceived value,affordable_pricing,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_059,The pricing page clearly explains every plan This happened again today.,Clear plan comparison,Content clarity,2,Semantically matches the core user problem.,Understand plan value before purchasing,Consistent clarity in pricing information,2,Captures the underlying need.,0,AI_PROXY
EV_060,The help article for workspace recovery is outdated This happened again today.,Outdated recovery guidance,outdated_content,2,Semantically matches the core user problem.,Access current recovery instructions,accurate_help_content,2,Captures the underlying need.,0,AI_PROXY
EV_061,Your support agent solved my login issue in five minutes This happened again today.,Effective login support,support,1,"Related but generic, surface-level, or partially mismatched.",Resolve access problems quickly,efficient support resolution,2,Captures the underlying need.,0,AI_PROXY
EV_062,Support has not replied to my billing ticket for six days This happened again today.,Delayed billing support,Delayed Support Response,2,Semantically matches the core user problem.,Receive timely help for billing blockers,Faster support response times for billing inquiries.,2,Captures the underlying need.,0,AI_PROXY
EV_063,The sidebar labels are hard to understand This happened again today.,Unclear navigation labels,confusing navigation,1,"Related but generic, surface-level, or partially mismatched.",Navigate product areas confidently,improved label clarity,2,Captures the underlying need.,0,AI_PROXY
EV_064,Please let me customize the sidebar order This happened again today.,Fixed sidebar organization,lack_of_customization,2,Semantically matches the core user problem.,Organize navigation around personal workflow,flexible_interface_layout,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_065,Sync occasionally duplicates the same note This happened again today.,Duplicate notes after sync,data integrity,1,"Related but generic, surface-level, or partially mismatched.",Keep synchronized content consistent,Ensure data consistency and prevent accidental duplication during synchronization.,2,Captures the underlying need.,0,AI_PROXY
EV_066,Startup uses too much memory and slows my laptop This happened again today.,High startup resource use,high resource use,2,Semantically matches the core user problem.,Open the app without degrading the device,reduce startup resource consumption,2,Captures the underlying need.,0,AI_PROXY
EV_067,The tutorial says to click a menu that no longer exists This happened again today.,Obsolete onboarding content,confusing navigation,1,"Related but generic, surface-level, or partially mismatched.",Follow accurate product instructions,Update or remove outdated tutorial instructions to restore usability.,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_068,I received a verification code but the login screen was easy to use This happened again today.,Clear verification flow,login_screen,1,"Related but generic, surface-level, or partially mismatched.",Complete authentication confidently,maintain_positive_login_experience,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_069,"The app is okay, but I have not used search enough to judge it This happened again today.",Insufficient usage context,search,0,Misses or contradicts the labeled user problem.,Evaluate the product after adequate use,search reliability,0,"Missing, unrelated, or not an underlying need.",1,AI_PROXY
EV_070,"Search is fast, but the results miss notes saved last month This happened again today.",Missing historical search results,discoverability,1,"Related but generic, surface-level, or partially mismatched.",Retrieve previously saved notes accurately,improve search recall for recent content,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_071,Dark mode would make evening writing more comfortable This happened again today.,Missing low-light appearance,evening writing comfort,2,Semantically matches the core user problem.,Write comfortably in low-light settings,improved visual comfort for night-time usage,2,Captures the underlying need.,0,AI_PROXY
EV_072,The editor deleted my unsaved paragraph after reconnecting This happened again today.,Unsaved content loss,data loss,2,Semantically matches the core user problem.,Protect writing during connectivity changes,prevent data loss during reconnection,2,Captures the underlying need.,0,AI_PROXY
EV_073,Why was I charged twice for one monthly subscription? This happened again today.,Duplicate subscription charge,duplicate charges,2,Semantically matches the core user problem.,Trust billing accuracy and understand charges,Resolution of billing error and prevention of future duplicate charges.,2,Captures the underlying need.,0,AI_PROXY
EV_074,The release notes are concise and useful This happened again today.,Useful release communication,none,0,Misses or contradicts the labeled user problem.,Understand product changes efficiently,User acknowledges the value of current release notes.,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_075,Login takes fifteen seconds and then the verification code expires This happened again today.,Slow authentication flow,login,1,"Related but generic, surface-level, or partially mismatched.",Access the workspace before credentials expire,faster login with extended verification window,2,Captures the underlying need.,1,AI_PROXY
EV_076,Search results take twelve seconds to appear in my large workspace I noticed this in version 3.2.,Slow search results,slow loading,2,Semantically matches the core user problem.,Get search results quickly during core retrieval,improved search response time,2,Captures the underlying need.,0,AI_PROXY
EV_077,Search filters are confusing and I cannot tell which ones are active I noticed this in version 3.2.,Confusing search filters,filter_visibility,2,Semantically matches the core user problem.,Understand and control active search filters,improved_filter_status_indication,2,Captures the underlying need.,0,AI_PROXY
EV_078,The export button does nothing after I click it I noticed this in version 3.2.,Export action failure,deterministic malfunction,1,"Related but generic, surface-level, or partially mismatched.",Reliably export work when requested,restore export capability,2,Captures the underlying need.,0,AI_PROXY
EV_079,Please add a yearly filter to search I noticed this in version 3.2.,Missing historical filter,lack of time-based search capability,2,Semantically matches the core user problem.,Narrow historical results efficiently,time-based search filtering,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_080,The app crashes every time I open my main notebook I noticed this in version 3.2.,Blocking notebook crash,frequent_crash,2,Semantically matches the core user problem.,Access core notebooks without crashes,app_stability,2,Captures the underlying need.,0,AI_PROXY
EV_081,NovaNote feels fast after the latest update I noticed this in version 3.2.,Improved application speed,startup_speed,1,"Related but generic, surface-level, or partially mismatched.",Complete work with responsive performance,faster application startup,1,Relevant but mostly restates the issue or requested solution.,1,AI_PROXY
EV_082,Is there a way to export all notebooks at once? I noticed this in version 3.2.,Batch export discoverability,lack_of_batch_export,2,Semantically matches the core user problem.,Move multiple notebooks efficiently,ability_to_export_multiple_notebooks_simultaneously,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_083,The Pro plan price increased and is now too expensive for me I noticed this in version 3.2.,Plan affordability,cost_increase,2,Semantically matches the core user problem.,Choose a plan aligned with perceived value,affordable_alternative,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_084,The pricing page clearly explains every plan I noticed this in version 3.2.,Clear plan comparison,none,0,Misses or contradicts the labeled user problem.,Understand plan value before purchasing,None,0,"Missing, unrelated, or not an underlying need.",0,AI_PROXY
EV_085,The help article for workspace recovery is outdated I noticed this in version 3.2.,Outdated recovery guidance,outdated_content,2,Semantically matches the core user problem.,Access current recovery instructions,Update the workspace recovery documentation to reflect current version 3.2 procedures.,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_086,Your support agent solved my login issue in five minutes I noticed this in version 3.2.,Effective login support,login,1,"Related but generic, surface-level, or partially mismatched.",Resolve access problems quickly,fast support resolution,2,Captures the underlying need.,0,AI_PROXY
EV_087,Support has not replied to my billing ticket for six days I noticed this in version 3.2.,Delayed billing support,Support Response,2,Semantically matches the core user problem.,Receive timely help for billing blockers,Timely support response,2,Captures the underlying need.,0,AI_PROXY
EV_088,The sidebar labels are hard to understand I noticed this in version 3.2.,Unclear navigation labels,discoverability,1,"Related but generic, surface-level, or partially mismatched.",Navigate product areas confidently,improve clarity of navigation labels,2,Captures the underlying need.,0,AI_PROXY
EV_089,Please let me customize the sidebar order I noticed this in version 3.2.,Fixed sidebar organization,lack_of_sidebar_customization,2,Semantically matches the core user problem.,Organize navigation around personal workflow,flexible_sidebar_configuration,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_090,Sync occasionally duplicates the same note I noticed this in version 3.2.,Duplicate notes after sync,duplicate notes,2,Semantically matches the core user problem.,Keep synchronized content consistent,Ensure sync accuracy to prevent data duplication.,2,Captures the underlying need.,0,AI_PROXY
EV_091,Startup uses too much memory and slows my laptop I noticed this in version 3.2.,High startup resource use,high resource use,2,Semantically matches the core user problem.,Open the app without degrading the device,reduce startup resource consumption,2,Captures the underlying need.,0,AI_PROXY
EV_092,The tutorial says to click a menu that no longer exists I noticed this in version 3.2.,Obsolete onboarding content,Outdated content,2,Semantically matches the core user problem.,Follow accurate product instructions,Update outdated tutorial content to reflect current interface.,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_093,I received a verification code but the login screen was easy to use I noticed this in version 3.2.,Clear verification flow,none,0,Misses or contradicts the labeled user problem.,Complete authentication confidently,positive reinforcement of current usability,0,"Missing, unrelated, or not an underlying need.",0,AI_PROXY
EV_094,"The app is okay, but I have not used search enough to judge it I noticed this in version 3.2.",Insufficient usage context,insufficient usage to evaluate,2,Semantically matches the core user problem.,Evaluate the product after adequate use,evaluate search functionality,2,Captures the underlying need.,0,AI_PROXY
EV_095,"Search is fast, but the results miss notes saved last month I noticed this in version 3.2.",Missing historical search results,search results missing recent notes,2,Semantically matches the core user problem.,Retrieve previously saved notes accurately,improve search result accuracy for recent content,2,Captures the underlying need.,0,AI_PROXY
EV_096,Dark mode would make evening writing more comfortable I noticed this in version 3.2.,Missing low-light appearance,Evening writing comfort,2,Semantically matches the core user problem.,Write comfortably in low-light settings,Improve visual comfort during evening use,2,Captures the underlying need.,0,AI_PROXY
EV_097,The editor deleted my unsaved paragraph after reconnecting I noticed this in version 3.2.,Unsaved content loss,data loss,2,Semantically matches the core user problem.,Protect writing during connectivity changes,reliable content preservation,2,Captures the underlying need.,0,AI_PROXY
EV_098,Why was I charged twice for one monthly subscription? I noticed this in version 3.2.,Duplicate subscription charge,duplicate charge,2,Semantically matches the core user problem.,Trust billing accuracy and understand charges,resolution of billing discrepancy,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_099,The release notes are concise and useful I noticed this in version 3.2.,Useful release communication,none,0,Misses or contradicts the labeled user problem.,Understand product changes efficiently,positive reinforcement of current content quality,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_100,Login takes fifteen seconds and then the verification code expires I noticed this in version 3.2.,Slow authentication flow,slow loading,1,"Related but generic, surface-level, or partially mismatched.",Access the workspace before credentials expire,faster login process,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
