id,content,gold,prediction,error_type,root_cause,fix_strategy
EV_017,The tutorial says to click a menu that no longer exists,content,bug,E1_CATEGORY_BOUNDARY,Category boundary selected bug instead of content.,Clarify this category boundary with a minimal decision rule or example.
EV_018,I received a verification code but the login screen was easy to use,ux,feature_request,E1_CATEGORY_BOUNDARY,Category boundary selected feature_request instead of ux.,Clarify this category boundary with a minimal decision rule or example.
EV_019,"The app is okay, but I have not used search enough to judge it",other,feature_request,E1_CATEGORY_BOUNDARY,Category boundary selected feature_request instead of other.,Clarify this category boundary with a minimal decision rule or example.
EV_020,"Search is fast, but the results miss notes saved last month",bug,feature_request,E1_CATEGORY_BOUNDARY,Category boundary selected feature_request instead of bug.,Clarify this category boundary with a minimal decision rule or example.
EV_021,Dark mode would make evening writing more comfortable,suggestion,complaint,E8_OTHER,Intent was classified complaint instead of suggestion.,Clarify complaint/request/suggestion/question decision order.
EV_022,The editor deleted my unsaved paragraph after reconnecting,bug,content,E1_CATEGORY_BOUNDARY,Category boundary selected content instead of bug.,Clarify this category boundary with a minimal decision rule or example.
EV_023,Why was I charged twice for one monthly subscription?,question,complaint,E8_OTHER,Intent was classified complaint instead of question.,Clarify complaint/request/suggestion/question decision order.
EV_024,The release notes are concise and useful,content,feature_request,E1_CATEGORY_BOUNDARY,Category boundary selected feature_request instead of content.,Clarify this category boundary with a minimal decision rule or example.
EV_025,Login takes fifteen seconds and then the verification code expires,complaint,request,E8_OTHER,Intent was classified request instead of complaint.,Clarify complaint/request/suggestion/question decision order.
EV_026,Search results take twelve seconds to appear in my large workspace On desktop.,high,medium,E2_SEVERITY_RULE,Severity was classified medium instead of high.,Tighten workflow-impact and critical/high boundary definitions.
EV_027,Search filters are confusing and I cannot tell which ones are active On desktop.,complaint,request,E8_OTHER,Intent was classified request instead of complaint.,Clarify complaint/request/suggestion/question decision order.
EV_028,The export button does nothing after I click it On desktop.,bug,feature_request,E1_CATEGORY_BOUNDARY,Category boundary selected feature_request instead of bug.,Clarify this category boundary with a minimal decision rule or example.
EV_030,The app crashes every time I open my main notebook On desktop.,complaint,request,E8_OTHER,Intent was classified request instead of complaint.,Clarify complaint/request/suggestion/question decision order.
EV_031,NovaNote feels fast after the latest update On desktop.,praise,suggestion,E8_OTHER,Intent was classified suggestion instead of praise.,Clarify complaint/request/suggestion/question decision order.
EV_032,Is there a way to export all notebooks at once? On desktop.,question,suggestion,E8_OTHER,Intent was classified suggestion instead of question.,Clarify complaint/request/suggestion/question decision order.
EV_033,The Pro plan price increased and is now too expensive for me On desktop.,medium,low,E2_SEVERITY_RULE,Severity was classified low instead of medium.,Tighten workflow-impact and critical/high boundary definitions.
EV_034,The pricing page clearly explains every plan On desktop.,pricing,content,E1_CATEGORY_BOUNDARY,Category boundary selected content instead of pricing.,Clarify this category boundary with a minimal decision rule or example.
EV_035,The help article for workspace recovery is outdated On desktop.,medium,low,E2_SEVERITY_RULE,Severity was classified low instead of medium.,Tighten workflow-impact and critical/high boundary definitions.
EV_036,Your support agent solved my login issue in five minutes On desktop.,customer_service,bug,E1_CATEGORY_BOUNDARY,Category boundary selected bug instead of customer_service.,Clarify this category boundary with a minimal decision rule or example.
EV_037,Support has not replied to my billing ticket for six days On desktop.,high,medium,E2_SEVERITY_RULE,Severity was classified medium instead of high.,Tighten workflow-impact and critical/high boundary definitions.
EV_038,The sidebar labels are hard to understand On desktop.,complaint,request,E8_OTHER,Intent was classified request instead of complaint.,Clarify complaint/request/suggestion/question decision order.
EV_039,Please let me customize the sidebar order On desktop.,suggestion,request,E8_OTHER,Intent was classified request instead of suggestion.,Clarify complaint/request/suggestion/question decision order.
EV_040,Sync occasionally duplicates the same note On desktop.,complaint,request,E8_OTHER,Intent was classified request instead of complaint.,Clarify complaint/request/suggestion/question decision order.
EV_041,Startup uses too much memory and slows my laptop On desktop.,complaint,request,E8_OTHER,Intent was classified request instead of complaint.,Clarify complaint/request/suggestion/question decision order.
EV_042,The tutorial says to click a menu that no longer exists On desktop.,content,bug,E1_CATEGORY_BOUNDARY,Category boundary selected bug instead of content.,Clarify this category boundary with a minimal decision rule or example.
EV_043,I received a verification code but the login screen was easy to use On desktop.,ux,feature_request,E1_CATEGORY_BOUNDARY,Category boundary selected feature_request instead of ux.,Clarify this category boundary with a minimal decision rule or example.
EV_044,"The app is okay, but I have not used search enough to judge it On desktop.",other,feature_request,E1_CATEGORY_BOUNDARY,Category boundary selected feature_request instead of other.,Clarify this category boundary with a minimal decision rule or example.
EV_045,"Search is fast, but the results miss notes saved last month On desktop.",bug,feature_request,E1_CATEGORY_BOUNDARY,Category boundary selected feature_request instead of bug.,Clarify this category boundary with a minimal decision rule or example.
EV_046,Dark mode would make evening writing more comfortable On desktop.,suggestion,complaint,E8_OTHER,Intent was classified complaint instead of suggestion.,Clarify complaint/request/suggestion/question decision order.
EV_047,The editor deleted my unsaved paragraph after reconnecting On desktop.,bug,content,E1_CATEGORY_BOUNDARY,Category boundary selected content instead of bug.,Clarify this category boundary with a minimal decision rule or example.
EV_048,Why was I charged twice for one monthly subscription? On desktop.,question,complaint,E8_OTHER,Intent was classified complaint instead of question.,Clarify complaint/request/suggestion/question decision order.
EV_049,The release notes are concise and useful On desktop.,praise,suggestion,E8_OTHER,Intent was classified suggestion instead of praise.,Clarify complaint/request/suggestion/question decision order.
EV_050,Login takes fifteen seconds and then the verification code expires On desktop.,complaint,request,E8_OTHER,Intent was classified request instead of complaint.,Clarify complaint/request/suggestion/question decision order.
EV_051,Search results take twelve seconds to appear in my large workspace This happened again today.,complaint,request,E8_OTHER,Intent was classified request instead of complaint.,Clarify complaint/request/suggestion/question decision order.
EV_052,Search filters are confusing and I cannot tell which ones are active This happened again today.,complaint,request,E8_OTHER,Intent was classified request instead of complaint.,Clarify complaint/request/suggestion/question decision order.
EV_053,The export button does nothing after I click it This happened again today.,bug,feature_request,E1_CATEGORY_BOUNDARY,Category boundary selected feature_request instead of bug.,Clarify this category boundary with a minimal decision rule or example.
EV_054,Please add a yearly filter to search This happened again today.,neutral,negative,E8_OTHER,Sentiment was classified negative instead of neutral.,Clarify mixed-valence and neutral boundaries.
EV_055,The app crashes every time I open my main notebook This happened again today.,critical,high,E2_SEVERITY_RULE,Severity was classified high instead of critical.,Tighten workflow-impact and critical/high boundary definitions.
EV_056,NovaNote feels fast after the latest update This happened again today.,praise,suggestion,E8_OTHER,Intent was classified suggestion instead of praise.,Clarify complaint/request/suggestion/question decision order.
EV_057,Is there a way to export all notebooks at once? This happened again today.,question,suggestion,E8_OTHER,Intent was classified suggestion instead of question.,Clarify complaint/request/suggestion/question decision order.
EV_059,The pricing page clearly explains every plan This happened again today.,pricing,content,E1_CATEGORY_BOUNDARY,Category boundary selected content instead of pricing.,Clarify this category boundary with a minimal decision rule or example.
EV_060,The help article for workspace recovery is outdated This happened again today.,complaint,request,E8_OTHER,Intent was classified request instead of complaint.,Clarify complaint/request/suggestion/question decision order.
EV_063,The sidebar labels are hard to understand This happened again today.,ux,content,E1_CATEGORY_BOUNDARY,Category boundary selected content instead of ux.,Clarify this category boundary with a minimal decision rule or example.
EV_064,Please let me customize the sidebar order This happened again today.,suggestion,request,E8_OTHER,Intent was classified request instead of suggestion.,Clarify complaint/request/suggestion/question decision order.
EV_065,Sync occasionally duplicates the same note This happened again today.,medium,high,E2_SEVERITY_RULE,Severity was classified high instead of medium.,Tighten workflow-impact and critical/high boundary definitions.
EV_066,Startup uses too much memory and slows my laptop This happened again today.,complaint,request,E8_OTHER,Intent was classified request instead of complaint.,Clarify complaint/request/suggestion/question decision order.
EV_067,The tutorial says to click a menu that no longer exists This happened again today.,content,bug,E1_CATEGORY_BOUNDARY,Category boundary selected bug instead of content.,Clarify this category boundary with a minimal decision rule or example.
EV_068,I received a verification code but the login screen was easy to use This happened again today.,ux,feature_request,E1_CATEGORY_BOUNDARY,Category boundary selected feature_request instead of ux.,Clarify this category boundary with a minimal decision rule or example.
EV_069,"The app is okay, but I have not used search enough to judge it This happened again today.",other,feature_request,E1_CATEGORY_BOUNDARY,Category boundary selected feature_request instead of other.,Clarify this category boundary with a minimal decision rule or example.
EV_070,"Search is fast, but the results miss notes saved last month This happened again today.",bug,feature_request,E1_CATEGORY_BOUNDARY,Category boundary selected feature_request instead of bug.,Clarify this category boundary with a minimal decision rule or example.
EV_071,Dark mode would make evening writing more comfortable This happened again today.,suggestion,complaint,E8_OTHER,Intent was classified complaint instead of suggestion.,Clarify complaint/request/suggestion/question decision order.
EV_072,The editor deleted my unsaved paragraph after reconnecting This happened again today.,bug,content,E1_CATEGORY_BOUNDARY,Category boundary selected content instead of bug.,Clarify this category boundary with a minimal decision rule or example.
EV_073,Why was I charged twice for one monthly subscription? This happened again today.,question,complaint,E8_OTHER,Intent was classified complaint instead of question.,Clarify complaint/request/suggestion/question decision order.
EV_074,The release notes are concise and useful This happened again today.,praise,suggestion,E8_OTHER,Intent was classified suggestion instead of praise.,Clarify complaint/request/suggestion/question decision order.
EV_075,Login takes fifteen seconds and then the verification code expires This happened again today.,complaint,request,E8_OTHER,Intent was classified request instead of complaint.,Clarify complaint/request/suggestion/question decision order.
EV_076,Search results take twelve seconds to appear in my large workspace I noticed this in version 3.2.,high,medium,E2_SEVERITY_RULE,Severity was classified medium instead of high.,Tighten workflow-impact and critical/high boundary definitions.
EV_077,Search filters are confusing and I cannot tell which ones are active I noticed this in version 3.2.,complaint,request,E8_OTHER,Intent was classified request instead of complaint.,Clarify complaint/request/suggestion/question decision order.
EV_078,The export button does nothing after I click it I noticed this in version 3.2.,bug,feature_request,E1_CATEGORY_BOUNDARY,Category boundary selected feature_request instead of bug.,Clarify this category boundary with a minimal decision rule or example.
EV_080,The app crashes every time I open my main notebook I noticed this in version 3.2.,critical,high,E2_SEVERITY_RULE,Severity was classified high instead of critical.,Tighten workflow-impact and critical/high boundary definitions.
EV_081,NovaNote feels fast after the latest update I noticed this in version 3.2.,praise,suggestion,E8_OTHER,Intent was classified suggestion instead of praise.,Clarify complaint/request/suggestion/question decision order.
EV_082,Is there a way to export all notebooks at once? I noticed this in version 3.2.,question,suggestion,E8_OTHER,Intent was classified suggestion instead of question.,Clarify complaint/request/suggestion/question decision order.
EV_083,The Pro plan price increased and is now too expensive for me I noticed this in version 3.2.,medium,low,E2_SEVERITY_RULE,Severity was classified low instead of medium.,Tighten workflow-impact and critical/high boundary definitions.
EV_084,The pricing page clearly explains every plan I noticed this in version 3.2.,pricing,feature_request,E1_CATEGORY_BOUNDARY,Category boundary selected feature_request instead of pricing.,Clarify this category boundary with a minimal decision rule or example.
EV_085,The help article for workspace recovery is outdated I noticed this in version 3.2.,complaint,request,E8_OTHER,Intent was classified request instead of complaint.,Clarify complaint/request/suggestion/question decision order.
EV_086,Your support agent solved my login issue in five minutes I noticed this in version 3.2.,customer_service,feature_request,E1_CATEGORY_BOUNDARY,Category boundary selected feature_request instead of customer_service.,Clarify this category boundary with a minimal decision rule or example.
EV_088,The sidebar labels are hard to understand I noticed this in version 3.2.,ux,content,E1_CATEGORY_BOUNDARY,Category boundary selected content instead of ux.,Clarify this category boundary with a minimal decision rule or example.
EV_089,Please let me customize the sidebar order I noticed this in version 3.2.,suggestion,request,E8_OTHER,Intent was classified request instead of suggestion.,Clarify complaint/request/suggestion/question decision order.
EV_090,Sync occasionally duplicates the same note I noticed this in version 3.2.,complaint,request,E8_OTHER,Intent was classified request instead of complaint.,Clarify complaint/request/suggestion/question decision order.
EV_091,Startup uses too much memory and slows my laptop I noticed this in version 3.2.,complaint,request,E8_OTHER,Intent was classified request instead of complaint.,Clarify complaint/request/suggestion/question decision order.
EV_092,The tutorial says to click a menu that no longer exists I noticed this in version 3.2.,content,bug,E1_CATEGORY_BOUNDARY,Category boundary selected bug instead of content.,Clarify this category boundary with a minimal decision rule or example.
EV_093,I received a verification code but the login screen was easy to use I noticed this in version 3.2.,ux,feature_request,E1_CATEGORY_BOUNDARY,Category boundary selected feature_request instead of ux.,Clarify this category boundary with a minimal decision rule or example.
EV_094,"The app is okay, but I have not used search enough to judge it I noticed this in version 3.2.",other,feature_request,E1_CATEGORY_BOUNDARY,Category boundary selected feature_request instead of other.,Clarify this category boundary with a minimal decision rule or example.
EV_095,"Search is fast, but the results miss notes saved last month I noticed this in version 3.2.",bug,feature_request,E1_CATEGORY_BOUNDARY,Category boundary selected feature_request instead of bug.,Clarify this category boundary with a minimal decision rule or example.
EV_096,Dark mode would make evening writing more comfortable I noticed this in version 3.2.,suggestion,complaint,E8_OTHER,Intent was classified complaint instead of suggestion.,Clarify complaint/request/suggestion/question decision order.
EV_097,The editor deleted my unsaved paragraph after reconnecting I noticed this in version 3.2.,bug,content,E1_CATEGORY_BOUNDARY,Category boundary selected content instead of bug.,Clarify this category boundary with a minimal decision rule or example.
EV_098,Why was I charged twice for one monthly subscription? I noticed this in version 3.2.,question,complaint,E8_OTHER,Intent was classified complaint instead of question.,Clarify complaint/request/suggestion/question decision order.
EV_099,The release notes are concise and useful I noticed this in version 3.2.,content,pricing,E1_CATEGORY_BOUNDARY,Category boundary selected pricing instead of content.,Clarify this category boundary with a minimal decision rule or example.
EV_100,Login takes fifteen seconds and then the verification code expires I noticed this in version 3.2.,complaint,request,E8_OTHER,Intent was classified request instead of complaint.,Clarify complaint/request/suggestion/question decision order.
