id,content,gold_pain_point,pred_pain_point,pain_point_score,pain_point_note,gold_user_need,pred_user_need,user_need_score,user_need_note,hallucination_flag
EV_029,Please add a yearly filter to search On desktop.,Missing historical filter,lack of time-based search capability,,,Narrow historical results efficiently,enhanced search filtering by time period,,,
EV_030,The app crashes every time I open my main notebook On desktop.,Blocking notebook crash,app_crash,,,Access core notebooks without crashes,app_stability,,,
EV_031,NovaNote feels fast after the latest update On desktop.,Improved application speed,startup_speed,,,Complete work with responsive performance,faster application startup,,,
EV_032,Is there a way to export all notebooks at once? On desktop.,Batch export discoverability,lack_of_batch_export_capability,,,Move multiple notebooks efficiently,ability_to_export_multiple_notebooks_simultaneously,,,
EV_033,The Pro plan price increased and is now too expensive for me On desktop.,Plan affordability,price_increase,,,Choose a plan aligned with perceived value,affordable_pricing,,,
EV_034,The pricing page clearly explains every plan On desktop.,Clear plan comparison,none,,,Understand plan value before purchasing,None,,,
EV_035,The help article for workspace recovery is outdated On desktop.,Outdated recovery guidance,outdated_content,,,Access current recovery instructions,accurate_help_content,,,
EV_036,Your support agent solved my login issue in five minutes On desktop.,Effective login support,None,,,Resolve access problems quickly,Recognition of successful support resolution.,,,
EV_037,Support has not replied to my billing ticket for six days On desktop.,Delayed billing support,lack_of_response,,,Receive timely help for billing blockers,timely support response,,,
EV_038,The sidebar labels are hard to understand On desktop.,Unclear navigation labels,discoverability,,,Navigate product areas confidently,Improve clarity of sidebar labels to enhance navigation.,,,
EV_039,Please let me customize the sidebar order On desktop.,Fixed sidebar organization,lack of customization,,,Organize navigation around personal workflow,flexible interface layout,,,
EV_040,Sync occasionally duplicates the same note On desktop.,Duplicate notes after sync,data integrity,,,Keep synchronized content consistent,Ensure unique note creation during synchronization to prevent data duplication.,,,
EV_041,Startup uses too much memory and slows my laptop On desktop.,High startup resource use,high resource use,,,Open the app without degrading the device,reduce startup latency and memory consumption,,,
EV_042,The tutorial says to click a menu that no longer exists On desktop.,Obsolete onboarding content,outdated content,,,Follow accurate product instructions,Update tutorial to reflect current interface.,,,
EV_043,I received a verification code but the login screen was easy to use On desktop.,Clear verification flow,login_screen,,,Complete authentication confidently,positive feedback on usability,,,
EV_044,"The app is okay, but I have not used search enough to judge it On desktop.",Insufficient usage context,insufficient testing,,,Evaluate the product after adequate use,insufficient testing,,,
EV_045,"Search is fast, but the results miss notes saved last month On desktop.",Missing historical search results,discoverability,,,Retrieve previously saved notes accurately,improve search result freshness,,,
EV_046,Dark mode would make evening writing more comfortable On desktop.,Missing low-light appearance,Evening writing comfort,,,Write comfortably in low-light settings,Improve visual comfort during low-light conditions.,,,
EV_047,The editor deleted my unsaved paragraph after reconnecting On desktop.,Unsaved content loss,data loss,,,Protect writing during connectivity changes,Prevent accidental data loss during editor reconnection.,,,
EV_048,Why was I charged twice for one monthly subscription? On desktop.,Duplicate subscription charge,duplicate charge,,,Trust billing accuracy and understand charges,resolution of billing error,,,
EV_049,The release notes are concise and useful On desktop.,Useful release communication,none,,,Understand product changes efficiently,None,,,
EV_050,Login takes fifteen seconds and then the verification code expires On desktop.,Slow authentication flow,slow startup,,,Access the workspace before credentials expire,faster login startup,,,
EV_051,Search results take twelve seconds to appear in my large workspace This happened again today.,Slow search results,slow loading,,,Get search results quickly during core retrieval,improved search response time,,,
EV_052,Search filters are confusing and I cannot tell which ones are active This happened again today.,Confusing search filters,filter_visibility,,,Understand and control active search filters,improved_filter_visibility,,,
EV_053,The export button does nothing after I click it This happened again today.,Export action failure,deterministic malfunction,,,Reliably export work when requested,Export functionality is not working.,,,
EV_054,Please add a yearly filter to search This happened again today.,Missing historical filter,search functionality,,,Narrow historical results efficiently,enhanced search filtering,,,
EV_055,The app crashes every time I open my main notebook This happened again today.,Blocking notebook crash,app_crash,,,Access core notebooks without crashes,app_startup,,,
EV_056,NovaNote feels fast after the latest update This happened again today.,Improved application speed,startup_speed,,,Complete work with responsive performance,faster application startup,,,
EV_057,Is there a way to export all notebooks at once? This happened again today.,Batch export discoverability,manual_export,,,Move multiple notebooks efficiently,batch_export,,,
EV_058,The Pro plan price increased and is now too expensive for me This happened again today.,Plan affordability,cost_increase,,,Choose a plan aligned with perceived value,affordable_pricing,,,
EV_059,The pricing page clearly explains every plan This happened again today.,Clear plan comparison,Content clarity,,,Understand plan value before purchasing,Consistent clarity in pricing information,,,
EV_060,The help article for workspace recovery is outdated This happened again today.,Outdated recovery guidance,outdated_content,,,Access current recovery instructions,accurate_help_content,,,
EV_061,Your support agent solved my login issue in five minutes This happened again today.,Effective login support,support,,,Resolve access problems quickly,efficient support resolution,,,
EV_062,Support has not replied to my billing ticket for six days This happened again today.,Delayed billing support,Delayed Support Response,,,Receive timely help for billing blockers,Faster support response times for billing inquiries.,,,
EV_063,The sidebar labels are hard to understand This happened again today.,Unclear navigation labels,confusing navigation,,,Navigate product areas confidently,improved label clarity,,,
EV_064,Please let me customize the sidebar order This happened again today.,Fixed sidebar organization,lack_of_customization,,,Organize navigation around personal workflow,flexible_interface_layout,,,
EV_065,Sync occasionally duplicates the same note This happened again today.,Duplicate notes after sync,data integrity,,,Keep synchronized content consistent,Ensure data consistency and prevent accidental duplication during synchronization.,,,
EV_066,Startup uses too much memory and slows my laptop This happened again today.,High startup resource use,high resource use,,,Open the app without degrading the device,reduce startup resource consumption,,,
EV_067,The tutorial says to click a menu that no longer exists This happened again today.,Obsolete onboarding content,confusing navigation,,,Follow accurate product instructions,Update or remove outdated tutorial instructions to restore usability.,,,
EV_068,I received a verification code but the login screen was easy to use This happened again today.,Clear verification flow,login_screen,,,Complete authentication confidently,maintain_positive_login_experience,,,
EV_069,"The app is okay, but I have not used search enough to judge it This happened again today.",Insufficient usage context,search,,,Evaluate the product after adequate use,search reliability,,,
EV_070,"Search is fast, but the results miss notes saved last month This happened again today.",Missing historical search results,discoverability,,,Retrieve previously saved notes accurately,improve search recall for recent content,,,
EV_071,Dark mode would make evening writing more comfortable This happened again today.,Missing low-light appearance,evening writing comfort,,,Write comfortably in low-light settings,improved visual comfort for night-time usage,,,
EV_072,The editor deleted my unsaved paragraph after reconnecting This happened again today.,Unsaved content loss,data loss,,,Protect writing during connectivity changes,prevent data loss during reconnection,,,
EV_073,Why was I charged twice for one monthly subscription? This happened again today.,Duplicate subscription charge,duplicate charges,,,Trust billing accuracy and understand charges,Resolution of billing error and prevention of future duplicate charges.,,,
EV_074,The release notes are concise and useful This happened again today.,Useful release communication,none,,,Understand product changes efficiently,User acknowledges the value of current release notes.,,,
EV_075,Login takes fifteen seconds and then the verification code expires This happened again today.,Slow authentication flow,login,,,Access the workspace before credentials expire,faster login with extended verification window,,,
EV_076,Search results take twelve seconds to appear in my large workspace I noticed this in version 3.2.,Slow search results,slow loading,,,Get search results quickly during core retrieval,improved search response time,,,
EV_077,Search filters are confusing and I cannot tell which ones are active I noticed this in version 3.2.,Confusing search filters,filter_visibility,,,Understand and control active search filters,improved_filter_status_indication,,,
EV_078,The export button does nothing after I click it I noticed this in version 3.2.,Export action failure,deterministic malfunction,,,Reliably export work when requested,restore export capability,,,
EV_079,Please add a yearly filter to search I noticed this in version 3.2.,Missing historical filter,lack of time-based search capability,,,Narrow historical results efficiently,time-based search filtering,,,
EV_080,The app crashes every time I open my main notebook I noticed this in version 3.2.,Blocking notebook crash,frequent_crash,,,Access core notebooks without crashes,app_stability,,,
EV_081,NovaNote feels fast after the latest update I noticed this in version 3.2.,Improved application speed,startup_speed,,,Complete work with responsive performance,faster application startup,,,
EV_082,Is there a way to export all notebooks at once? I noticed this in version 3.2.,Batch export discoverability,lack_of_batch_export,,,Move multiple notebooks efficiently,ability_to_export_multiple_notebooks_simultaneously,,,
EV_083,The Pro plan price increased and is now too expensive for me I noticed this in version 3.2.,Plan affordability,cost_increase,,,Choose a plan aligned with perceived value,affordable_alternative,,,
EV_084,The pricing page clearly explains every plan I noticed this in version 3.2.,Clear plan comparison,none,,,Understand plan value before purchasing,None,,,
EV_085,The help article for workspace recovery is outdated I noticed this in version 3.2.,Outdated recovery guidance,outdated_content,,,Access current recovery instructions,Update the workspace recovery documentation to reflect current version 3.2 procedures.,,,
EV_086,Your support agent solved my login issue in five minutes I noticed this in version 3.2.,Effective login support,login,,,Resolve access problems quickly,fast support resolution,,,
EV_087,Support has not replied to my billing ticket for six days I noticed this in version 3.2.,Delayed billing support,Support Response,,,Receive timely help for billing blockers,Timely support response,,,
EV_088,The sidebar labels are hard to understand I noticed this in version 3.2.,Unclear navigation labels,discoverability,,,Navigate product areas confidently,improve clarity of navigation labels,,,
EV_089,Please let me customize the sidebar order I noticed this in version 3.2.,Fixed sidebar organization,lack_of_sidebar_customization,,,Organize navigation around personal workflow,flexible_sidebar_configuration,,,
EV_090,Sync occasionally duplicates the same note I noticed this in version 3.2.,Duplicate notes after sync,duplicate notes,,,Keep synchronized content consistent,Ensure sync accuracy to prevent data duplication.,,,
EV_091,Startup uses too much memory and slows my laptop I noticed this in version 3.2.,High startup resource use,high resource use,,,Open the app without degrading the device,reduce startup resource consumption,,,
EV_092,The tutorial says to click a menu that no longer exists I noticed this in version 3.2.,Obsolete onboarding content,Outdated content,,,Follow accurate product instructions,Update outdated tutorial content to reflect current interface.,,,
EV_093,I received a verification code but the login screen was easy to use I noticed this in version 3.2.,Clear verification flow,none,,,Complete authentication confidently,positive reinforcement of current usability,,,
EV_094,"The app is okay, but I have not used search enough to judge it I noticed this in version 3.2.",Insufficient usage context,insufficient usage to evaluate,,,Evaluate the product after adequate use,evaluate search functionality,,,
EV_095,"Search is fast, but the results miss notes saved last month I noticed this in version 3.2.",Missing historical search results,search results missing recent notes,,,Retrieve previously saved notes accurately,improve search result accuracy for recent content,,,
EV_096,Dark mode would make evening writing more comfortable I noticed this in version 3.2.,Missing low-light appearance,Evening writing comfort,,,Write comfortably in low-light settings,Improve visual comfort during evening use,,,
EV_097,The editor deleted my unsaved paragraph after reconnecting I noticed this in version 3.2.,Unsaved content loss,data loss,,,Protect writing during connectivity changes,reliable content preservation,,,
EV_098,Why was I charged twice for one monthly subscription? I noticed this in version 3.2.,Duplicate subscription charge,duplicate charge,,,Trust billing accuracy and understand charges,resolution of billing discrepancy,,,
EV_099,The release notes are concise and useful I noticed this in version 3.2.,Useful release communication,none,,,Understand product changes efficiently,positive reinforcement of current content quality,,,
EV_100,Login takes fifteen seconds and then the verification code expires I noticed this in version 3.2.,Slow authentication flow,slow loading,,,Access the workspace before credentials expire,faster login process,,,
